shower_code,vel_init_norot,vel_avg_norot,duration,mass,begin_height,end_height,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,acceleration,zenith_angle,rho,sigma,erosion_height_start,erosion_coeff,erosion_mass_index,erosion_mass_min,erosion_mass_max
PER_sel,55.35638139580263,54.36965943678357,0.5000000000000016,5.406284389558087e-07,115.11869848883028,93.7343271500138,3.847100530975516,6.193472099766752,5.967247550958606,0.7415048756354223,27.184829718391867,1.9734439180381225,38.968219227485655,797.6428019166142,1.7200188176944814e-08,126.68444575371352,8.88862302256748e-07,2.5074448687350825,1.5861942860727822e-09,1.7024104854308115e-09
PER_sel,55.38038614316152,54.61749752759395,0.4666666666666679,9.132856927042412e-07,113.49529431700292,95.21155590012316,3.0189882236721752,5.591365843498448,5.462860871952127,0.6469936854206785,25.48816551287724,1.6347613190733723,45.11950133691526,557.1309477120004,1.4022989006903774e-08,115.22370526204988,6.817660902592374e-07,2.680034355683049,5.4825900440452846e-11,1.588718613302913e-08
PER_sel,55.44210346769736,54.19309763265226,0.4000000000000012,7.213719753861929e-07,107.6922815880384,89.62439377759098,3.290843627258692,5.597741737002384,7.2,0.508330985770518,21.677239053060973,3.122514587612732,34.46809209896325,981.1507444149196,1.4000413245228693e-08,108.7860507916776,9.271437098876068e-07,2.1219663035306717,4.6164437046225406e-10,1.9066072043709696e-08
PER_sel,55.50337023398194,54.73233578756352,0.3999999999999986,8.969784024768391e-07,107.57252450423871,93.92698203571204,3.371203144334149,5.492649330549142,6.345295295984817,0.5875819274982959,21.89293431502533,1.927586116046072,52.622736328869365,945.3330944108208,3.3343073212211727e-08,107.9524810609124,4.424242228653677e-07,1.70790146146725,5.187978675309876e-10,1.625349898453391e-07
PER_sel,55.91882281534225,55.01596607359923,0.4333333333333318,9.126418735204368e-07,108.84999496729836,93.77579362703324,3.2368308621478263,5.678500418296276,6.3699982268071205,0.6964847089600892,23.840251965226248,2.083515557868521,51.89262985572482,294.03460306267414,2.356225326194761e-08,99.6502680573145,1.7100013715578765e-07,2.3882141796208134,1.406241462281011e-10,1.9733801441507588e-07
PER_sel,56.16844577317797,55.42610260941336,0.4333333333333347,3.8462230427101545e-07,115.57562351958444,96.8779538494785,4.002046936729577,6.451430281793031,6.136069252019513,0.4657997121035467,24.01797779741253,1.7130996086875538,39.78785317758566,757.306814177038,1.1562112943858728e-08,118.3950930524739,5.522452445945365e-07,2.599174697845442,7.524040061747155e-12,3.246030581972639e-07
PER_sel,56.36646208181384,55.005354671013976,0.4333333333333318,4.673773654088069e-07,105.26191272070282,93.45428329503846,4.1514559303764855,6.13200742503252,6.230832767706869,0.6219208958550855,23.83565369077264,3.1410171018458595,61.78068321317784,900.0615383937252,1.3521216430299208e-08,105.56347255135547,4.784485794417169e-07,2.7464140094485945,1.1405631110776032e-09,2.046403812273273e-08
PER_sel,56.47153222873503,55.55014551066973,0.4000000000000012,7.165771960055273e-07,109.54592522503243,91.72610254524764,3.3256281152513,5.684546244048436,6.037792203443027,0.5902079019347702,22.22005820426796,2.303466795163242,37.51225291804728,818.7873683965028,1.6957821417816552e-08,111.27045548056812,4.032546532430867e-07,1.8245666350654144,1.1388066624363396e-10,2.1287128372179972e-08
PER_sel,56.49726327469471,55.85094037866357,0.4333333333333347,4.808589423953948e-07,111.9473823477225,95.22654955115809,4.156234241972508,6.246902857319351,5.8340519197746685,0.6195095418762139,24.202074164087623,1.4915143754564653,47.23670909188208,639.3983208858916,2.5807928509224897e-08,113.72883801832673,8.193880922108789e-07,2.058551293469156,3.3692306423205492e-09,7.3633035759228125e-09
PER_sel,56.55302032653933,56.06113116996151,0.4333333333333318,5.922117151711217e-07,110.42798370088856,95.95174745701426,4.0465373070704125,6.295460004747579,5.705765466160692,0.6177624152737298,24.29315684031657,1.1351288228718954,54.55048321142622,742.130504684355,3.3876203105228035e-08,109.15948005321016,8.44291486858183e-07,2.953493663591865,6.984469593471838e-09,3.6074354180459175e-08
PER_sel,56.92339631009529,56.26034233959212,0.3999999999999986,6.389673030040845e-07,109.75664585681132,96.23961909034249,3.616278838557352,5.667000561983872,5.467267807794832,0.5037176395108006,22.50413693583677,1.657634926257933,54.2242817724674,975.1660360407618,2.162013465429265e-08,112.09894779759702,2.058703948109677e-07,1.6721222800339262,3.190805872783282e-10,6.9658434487451305e-09
PER_sel,56.94779122903139,55.980015219169616,0.5333333333333352,8.382742095146743e-07,113.10926275301824,92.43044820114191,3.580947059234554,5.776107830636402,5.970354025392254,0.5686530853639312,29.856008116890568,1.814580018490817,47.187077351611336,337.9113125929531,1.7250790095986792e-08,118.74915213110384,2.331348396188827e-07,1.6248474047508528,8.621645170217994e-11,3.9455896138187965e-08
