shower_code,vel_init_norot,vel_avg_norot,duration,mass,begin_height,end_height,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,acceleration,zenith_angle,rho,sigma,erosion_height_start,erosion_coeff,erosion_mass_index,erosion_mass_min,erosion_mass_max
GEM_sel,34.02746307818925,33.00952487340714,0.4333333333333318,2.191069301514839e-07,103.4661840793322,89.84641040274606,4.692476218289128,6.60696678249592,7.653537844009097,0.4743980243187258,14.304127445143042,2.3490881648818056,18.322807477997024,2373.052924105699,1.8021615704142324e-08,108.73012978187948,2.513261440846731e-07,2.047482831016286,7.575927122748243e-12,1.745926597058079e-09
GEM_sel,34.04755224924291,33.13094133795214,0.4999999999999982,3.130402680988021e-07,103.76232475665404,88.99155238028764,5.295424447401176,6.591550778072625,8.0,0.5404159600807875,16.56547066897601,1.833221822581556,28.06714107905342,551.2512328379479,4.5023038147936724e-08,96.4346377747265,6.193717729464262e-07,2.3669593358762038,3.1350229131310194e-09,1.0344351396692821e-07
GEM_sel,34.07016337356637,32.643166658760734,0.6333333333333311,8.01273585662406e-07,98.66187326145624,81.62635850111637,4.435511138587809,6.82669415757391,8.0,0.5419784217285624,20.67400555054839,2.25315270758786,35.56218993274811,1526.6557082501208,1.997344613274865e-08,105.76729472346386,8.871509728495486e-09,2.9621382009347417,7.828980632962161e-10,1.5040579778718363e-09
GEM_sel,34.13549897766681,32.87902424581754,0.5666666666666647,3.831279630400366e-07,106.17219178133908,89.21410501790675,4.605002196709707,7.555138983453082,6.750349709379786,0.5430918710850541,18.631447072629875,2.2173083503222557,25.48847146774691,373.3466680424351,2.3310677560730645e-08,100.47262635476184,3.478756139365924e-07,1.82134780388816,5.499096862583856e-10,1.6750151892427076e-09
GEM_sel,34.15209651491753,32.85193084420824,0.5666666666666647,3.616633107946825e-07,106.61855776033416,89.11958109411889,4.429407535015331,6.7864116582818745,8.0,0.4247031651694898,18.61609414505127,2.2944100071340503,20.8670620903185,599.2198624787984,1.8076961676811626e-08,109.54649505874164,3.438757303789659e-07,2.217893431173354,8.222079146573909e-11,4.180168143076563e-09
GEM_sel,34.191044391804255,32.347753106343866,0.5666666666666647,3.4964335054781695e-07,101.09188486786336,83.62424207518146,4.576428837773072,6.449299755167565,8.0,0.4292258747522903,18.33039342692813,3.252866974341873,18.51091179651301,632.292189002442,1.2815794193671158e-08,101.83319864066468,8.689221742733615e-07,1.8819381571107183,1.2745539409984358e-10,3.3815982649439024e-08
GEM_sel,34.23637180123191,33.26811937180237,0.5666666666666647,2.802811525679633e-07,105.58071191801535,91.1006863459902,4.815278556356956,7.33689915641417,8.0,0.4820735029158116,18.85193431068794,1.708680757816842,40.715153802933735,2954.475686530845,2.699177658755355e-08,107.20801518929244,6.747545575853387e-07,2.2276517878519977,2.001032975514889e-10,1.3319535079723193e-08
GEM_sel,34.25031332869882,33.62140346446464,0.5666666666666647,3.700766847092744e-07,106.88600954328392,88.92496105117397,4.694207908077288,6.830249715879466,7.184944788637264,0.4761701561992643,19.05212862986323,1.109840936883853,20.16272660596348,425.1544676687795,4.840602531474624e-08,99.35425309680907,9.341444594515376e-07,1.6680014788205018,7.228641075587528e-12,9.865084475673453e-08
GEM_sel,34.26210652474837,33.361962162018806,0.4333333333333318,3.09737472978372e-07,105.1113793910981,92.96398564630564,4.811918723766926,6.200580852681839,6.603860139847514,0.3908786654982085,14.4568502702081,2.077256221683614,33.81149357626752,472.896618873659,3.5612053160654623e-08,105.74114283869262,8.683198615118504e-07,1.8903719496971627,3.5766618668681874e-10,2.2769378414009363e-09
GEM_sel,34.31691878558726,33.81609680960057,0.466666666666665,3.618574864205935e-07,100.53781805901563,88.55105610366391,4.597156971160279,6.129570172352758,6.644329955959854,0.4336171136282779,15.780845177813546,1.0731899485429088,41.376672874250325,2768.755226030142,2.1303900452862706e-08,105.99836644405602,8.610469642357531e-08,2.4471949207060444,6.29581875133663e-11,2.492892058143258e-07
GEM_sel,34.333259807698404,33.26502850930583,0.4333333333333318,2.568936190550072e-07,102.34678874063154,88.38600624583269,4.72404383835375,6.953089632402083,6.762728959233802,0.551304773810594,14.414845687365808,2.465149150136721,15.169790390716177,2801.946490151436,2.4127055102785323e-08,104.2445060939952,5.086911197843458e-07,2.0276359935880275,2.412317354690225e-10,3.446688258287939e-07
GEM_sel,34.446074606728395,33.96400736099172,0.466666666666665,4.270167300785745e-07,107.85063692560716,93.26654630870424,4.275017909079966,6.580141476945449,6.065752892958029,0.4339348988719007,15.84987010179608,1.033001240864302,23.586675395196025,956.653642841674,3.723626370836015e-08,109.38689837654135,6.244220227448191e-07,1.808682157338416,1.881316960827689e-11,4.3196650853358975e-09
